"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2010Q3","Under 50","Transportation and storage (H)","Euro","15.41"
"Average Hourly Earnings","2010Q3","Under 50","Accommodation and food service activities (I)","Euro","12.09"
"Average Hourly Earnings","2010Q3","Under 50","Information and communication (J)","Euro","24.91"
"Average Hourly Earnings","2010Q3","Under 50","Professional, scientific and technical activities (M)","Euro","22.2"
"Average Hourly Earnings","2010Q3","Under 50","Administrative and support service activities (N)","Euro","15.37"
"Average Hourly Earnings","2010Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","21.3"
"Average Hourly Earnings","2010Q3","Under 50","Education (P)","Euro","17.13"
"Average Hourly Earnings","2010Q3","Under 50","Human health and social work activities (Q)","Euro","17.34"
"Average Hourly Earnings","2010Q3","Under 50","Industry (B to E)","Euro","16.51"
"Average Hourly Earnings","2010Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","27.02"
"Average Hourly Earnings","2010Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.35"
"Average Hourly Earnings","2010Q3","50 - 250","All NACE economic sectors","Euro","19.29"
"Average Hourly Earnings","2010Q3","50 - 250","Construction (F)","Euro","22.81"
"Average Hourly Earnings","2010Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.46"
"Average Hourly Earnings","2010Q3","50 - 250","Transportation and storage (H)","Euro","18.21"
"Average Hourly Earnings","2010Q3","50 - 250","Accommodation and food service activities (I)","Euro","12.65"
"Average Hourly Earnings","2010Q3","50 - 250","Information and communication (J)","Euro","26.33"
"Average Hourly Earnings","2010Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","27.62"
"Average Hourly Earnings","2010Q3","50 - 250","Administrative and support service activities (N)","Euro","16.95"
"Average Hourly Earnings","2010Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.7"
"Average Hourly Earnings","2010Q3","50 - 250","Education (P)","Euro","27.74"
"Average Hourly Earnings","2010Q3","50 - 250","Human health and social work activities (Q)","Euro","18.18"
"Average Hourly Earnings","2010Q3","50 - 250","Industry (B to E)","Euro","19.5"
"Average Hourly Earnings","2010Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","27.33"
"Average Hourly Earnings","2010Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.23"
"Average Hourly Earnings","2010Q3","Greater than 250","All NACE economic sectors","Euro","25.54"
"Average Hourly Earnings","2010Q3","Greater than 250","Construction (F)","Euro","27.62"
"Average Hourly Earnings","2010Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","15.72"
"Average Hourly Earnings","2010Q3","Greater than 250","Transportation and storage (H)","Euro","21.8"
"Average Hourly Earnings","2010Q3","Greater than 250","Accommodation and food service activities (I)","Euro","12.87"
"Average Hourly Earnings","2010Q3","Greater than 250","Information and communication (J)","Euro","27.43"
"Average Hourly Earnings","2010Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","27.6"
"Average Hourly Earnings","2010Q3","Greater than 250","Administrative and support service activities (N)","Euro","14.77"
"Average Hourly Earnings","2010Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.76"
"Average Hourly Earnings","2010Q3","Greater than 250","Education (P)","Euro","40.21"
"Average Hourly Earnings","2010Q3","Greater than 250","Human health and social work activities (Q)","Euro","25.76"
"Average Hourly Earnings","2010Q3","Greater than 250","Industry (B to E)","Euro","24.72"
"Average Hourly Earnings","2010Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","28.02"
"Average Hourly Earnings","2010Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.68"
"Average Hourly Earnings","2010Q4","Under 50","All NACE economic sectors","Euro","18.41"
"Average Hourly Earnings","2010Q4","Under 50","Construction (F)","Euro","20.28"
"Average Hourly Earnings","2010Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.72"
"Average Hourly Earnings","2010Q4","Under 50","Transportation and storage (H)","Euro","16.87"
"Average Hourly Earnings","2010Q4","Under 50","Accommodation and food service activities (I)","Euro","12.6"
"Average Hourly Earnings","2010Q4","Under 50","Information and communication (J)","Euro","25.77"
"Average Hourly Earnings","2010Q4","Under 50","Professional, scientific and technical activities (M)","Euro","21.46"
"Average Hourly Earnings","2010Q4","Under 50","Administrative and support service activities (N)","Euro","17.62"
"Average Hourly Earnings","2010Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","21.31"
"Average Hourly Earnings","2010Q4","Under 50","Education (P)","Euro","18.06"
"Average Hourly Earnings","2010Q4","Under 50","Human health and social work activities (Q)","Euro","16.82"
"Average Hourly Earnings","2010Q4","Under 50","Industry (B to E)","Euro","18.07"
"Average Hourly Earnings","2010Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","32.79"
"Average Hourly Earnings","2010Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.62"
"Average Hourly Earnings","2010Q4","50 - 250","All NACE economic sectors","Euro","19.86"
"Average Hourly Earnings","2010Q4","50 - 250","Construction (F)","Euro","23.24"
"Average Hourly Earnings","2010Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.42"
"Average Hourly Earnings","2010Q4","50 - 250","Transportation and storage (H)","Euro","18.11"
"Average Hourly Earnings","2010Q4","50 - 250","Accommodation and food service activities (I)","Euro","12.75"
"Average Hourly Earnings","2010Q4","50 - 250","Information and communication (J)","Euro","26.36"
"Average Hourly Earnings","2010Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","28.23"
"Average Hourly Earnings","2010Q4","50 - 250","Administrative and support service activities (N)","Euro","16.73"
"Average Hourly Earnings","2010Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.92"
"Average Hourly Earnings","2010Q4","50 - 250","Education (P)","Euro","28.92"
"Average Hourly Earnings","2010Q4","50 - 250","Human health and social work activities (Q)","Euro","18.16"
"Average Hourly Earnings","2010Q4","50 - 250","Industry (B to E)","Euro","19.89"
"Average Hourly Earnings","2010Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","30.98"
"Average Hourly Earnings","2010Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.59"
"Average Hourly Earnings","2010Q4","Greater than 250","All NACE economic sectors","Euro","25.54"
"Average Hourly Earnings","2010Q4","Greater than 250","Construction (F)","Euro","26.44"
"Average Hourly Earnings","2010Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.14"
"Average Hourly Earnings","2010Q4","Greater than 250","Transportation and storage (H)","Euro","22.11"
"Average Hourly Earnings","2010Q4","Greater than 250","Accommodation and food service activities (I)","Euro","13.08"
"Average Hourly Earnings","2010Q4","Greater than 250","Information and communication (J)","Euro","27.03"
"Average Hourly Earnings","2010Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.95"
"Average Hourly Earnings","2010Q4","Greater than 250","Administrative and support service activities (N)","Euro","14.53"
"Average Hourly Earnings","2010Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.16"
"Average Hourly Earnings","2010Q4","Greater than 250","Education (P)","Euro","37.65"
"Average Hourly Earnings","2010Q4","Greater than 250","Human health and social work activities (Q)","Euro","25.83"
"Average Hourly Earnings","2010Q4","Greater than 250","Industry (B to E)","Euro","24.95"
"Average Hourly Earnings","2010Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.43"
"Average Hourly Earnings","2010Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","16.11"
"Average Hourly Earnings","2011Q1","Under 50","All NACE economic sectors","Euro","17.51"
"Average Hourly Earnings","2011Q1","Under 50","Construction (F)","Euro","18.05"
"Average Hourly Earnings","2011Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.03"
"Average Hourly Earnings","2011Q1","Under 50","Transportation and storage (H)","Euro","16.38"
"Average Hourly Earnings","2011Q1","Under 50","Accommodation and food service activities (I)","Euro","12.13"
"Average Hourly Earnings","2011Q1","Under 50","Information and communication (J)","Euro","25.08"
"Average Hourly Earnings","2011Q1","Under 50","Professional, scientific and technical activities (M)","Euro","21.05"
"Average Hourly Earnings","2011Q1","Under 50","Administrative and support service activities (N)","Euro","17.19"
"Average Hourly Earnings","2011Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","21.33"
"Average Hourly Earnings","2011Q1","Under 50","Education (P)","Euro","18.05"
"Average Hourly Earnings","2011Q1","Under 50","Human health and social work activities (Q)","Euro","16.93"
"Average Hourly Earnings","2011Q1","Under 50","Industry (B to E)","Euro","17.96"
"Average Hourly Earnings","2011Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","28.69"
"Average Hourly Earnings","2011Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15"
"Average Hourly Earnings","2011Q1","50 - 250","All NACE economic sectors","Euro","20.22"
"Average Hourly Earnings","2011Q1","50 - 250","Construction (F)","Euro","22.08"
"Average Hourly Earnings","2011Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.3"
"Average Hourly Earnings","2011Q1","50 - 250","Transportation and storage (H)","Euro","18.49"
"Average Hourly Earnings","2011Q1","50 - 250","Accommodation and food service activities (I)","Euro","12.58"
"Average Hourly Earnings","2011Q1","50 - 250","Information and communication (J)","Euro","28.1"
"Average Hourly Earnings","2011Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","33.07"
"Average Hourly Earnings","2011Q1","50 - 250","Administrative and support service activities (N)","Euro","17.15"
"Average Hourly Earnings","2011Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.26"
"Average Hourly Earnings","2011Q1","50 - 250","Education (P)","Euro","29.16"
"Average Hourly Earnings","2011Q1","50 - 250","Human health and social work activities (Q)","Euro","17.94"
"Average Hourly Earnings","2011Q1","50 - 250","Industry (B to E)","Euro","19.49"
"Average Hourly Earnings","2011Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","32.93"
"Average Hourly Earnings","2011Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.09"
"Average Hourly Earnings","2011Q1","Greater than 250","All NACE economic sectors","Euro","26.01"
"Average Hourly Earnings","2011Q1","Greater than 250","Construction (F)","Euro","25.71"
"Average Hourly Earnings","2011Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.56"
"Average Hourly Earnings","2011Q1","Greater than 250","Transportation and storage (H)","Euro","21.93"
"Average Hourly Earnings","2011Q1","Greater than 250","Accommodation and food service activities (I)","Euro","12.81"
"Average Hourly Earnings","2011Q1","Greater than 250","Information and communication (J)","Euro","27.51"
"Average Hourly Earnings","2011Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.36"
"Average Hourly Earnings","2011Q1","Greater than 250","Administrative and support service activities (N)","Euro","16.4"
"Average Hourly Earnings","2011Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.12"
"Average Hourly Earnings","2011Q1","Greater than 250","Education (P)","Euro","37.95"
"Average Hourly Earnings","2011Q1","Greater than 250","Human health and social work activities (Q)","Euro","25.82"
"Average Hourly Earnings","2011Q1","Greater than 250","Industry (B to E)","Euro","25.87"
"Average Hourly Earnings","2011Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","31.37"
"Average Hourly Earnings","2011Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","16.02"
"Average Hourly Earnings","2011Q2","Under 50","All NACE economic sectors","Euro","17.49"
"Average Hourly Earnings","2011Q2","Under 50","Construction (F)","Euro","18.69"
"Average Hourly Earnings","2011Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.29"
"Average Hourly Earnings","2011Q2","Under 50","Transportation and storage (H)","Euro","15.47"
"Average Hourly Earnings","2011Q2","Under 50","Accommodation and food service activities (I)","Euro","12.26"
"Average Hourly Earnings","2011Q2","Under 50","Information and communication (J)","Euro","24.72"
"Average Hourly Earnings","2011Q2","Under 50","Professional, scientific and technical activities (M)","Euro","21.17"
"Average Hourly Earnings","2011Q2","Under 50","Administrative and support service activities (N)","Euro","17.26"
"Average Hourly Earnings","2011Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","20.81"
"Average Hourly Earnings","2011Q2","Under 50","Education (P)","Euro","18.98"
"Average Hourly Earnings","2011Q2","Under 50","Human health and social work activities (Q)","Euro","17.39"
"Average Hourly Earnings","2011Q2","Under 50","Industry (B to E)","Euro","17.14"
"Average Hourly Earnings","2011Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","25.93"
"Average Hourly Earnings","2011Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.39"
"Average Hourly Earnings","2011Q2","50 - 250","All NACE economic sectors","Euro","19.77"
"Average Hourly Earnings","2011Q2","50 - 250","Construction (F)","Euro","22.48"
"Average Hourly Earnings","2011Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.07"
"Average Hourly Earnings","2011Q2","50 - 250","Transportation and storage (H)","Euro","18.13"
"Average Hourly Earnings","2011Q2","50 - 250","Accommodation and food service activities (I)","Euro","12.77"
"Average Hourly Earnings","2011Q2","50 - 250","Information and communication (J)","Euro","26.58"
"Average Hourly Earnings","2011Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","29.78"
"Average Hourly Earnings","2011Q2","50 - 250","Administrative and support service activities (N)","Euro","17.38"
"Average Hourly Earnings","2011Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.04"
"Average Hourly Earnings","2011Q2","50 - 250","Education (P)","Euro","28.26"
"Average Hourly Earnings","2011Q2","50 - 250","Human health and social work activities (Q)","Euro","17.47"
"Average Hourly Earnings","2011Q2","50 - 250","Industry (B to E)","Euro","19.33"
"Average Hourly Earnings","2011Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","30.47"
"Average Hourly Earnings","2011Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.3"
"Average Hourly Earnings","2011Q2","Greater than 250","All NACE economic sectors","Euro","25.75"
"Average Hourly Earnings","2011Q2","Greater than 250","Construction (F)","Euro","24.78"
"Average Hourly Earnings","2011Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.49"
"Average Hourly Earnings","2011Q2","Greater than 250","Transportation and storage (H)","Euro","22.85"
"Average Hourly Earnings","2011Q2","Greater than 250","Accommodation and food service activities (I)","Euro","12.99"
"Average Hourly Earnings","2011Q2","Greater than 250","Information and communication (J)","Euro","27.32"
"Average Hourly Earnings","2011Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.85"
"Average Hourly Earnings","2011Q2","Greater than 250","Administrative and support service activities (N)","Euro","15.15"
"Average Hourly Earnings","2011Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.37"
"Average Hourly Earnings","2011Q2","Greater than 250","Education (P)","Euro","37.91"
"Average Hourly Earnings","2011Q2","Greater than 250","Human health and social work activities (Q)","Euro","25.93"
"Average Hourly Earnings","2011Q2","Greater than 250","Industry (B to E)","Euro","24.86"
"Average Hourly Earnings","2011Q2","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.94"
"Average Hourly Earnings","2011Q2","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","16.28"
"Average Hourly Earnings","2011Q3","Under 50","All NACE economic sectors","Euro","17.32"
"Average Hourly Earnings","2011Q3","Under 50","Construction (F)","Euro","18.02"
"Average Hourly Earnings","2011Q3","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.11"
"Average Hourly Earnings","2011Q3","Under 50","Transportation and storage (H)","Euro","16.35"
"Average Hourly Earnings","2011Q3","Under 50","Accommodation and food service activities (I)","Euro","12.34"
"Average Hourly Earnings","2011Q3","Under 50","Information and communication (J)","Euro","25.71"
"Average Hourly Earnings","2011Q3","Under 50","Professional, scientific and technical activities (M)","Euro","21.06"
"Average Hourly Earnings","2011Q3","Under 50","Administrative and support service activities (N)","Euro","18.35"
"Average Hourly Earnings","2011Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","19.85"
"Average Hourly Earnings","2011Q3","Under 50","Education (P)","Euro","21.57"
"Average Hourly Earnings","2011Q3","Under 50","Human health and social work activities (Q)","Euro","17.27"
"Average Hourly Earnings","2011Q3","Under 50","Industry (B to E)","Euro","16.49"
"Average Hourly Earnings","2011Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","26.06"
"Average Hourly Earnings","2011Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.17"
"Average Hourly Earnings","2011Q3","50 - 250","All NACE economic sectors","Euro","19.26"
"Average Hourly Earnings","2011Q3","50 - 250","Construction (F)","Euro","22.89"
"Average Hourly Earnings","2011Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.4"
"Average Hourly Earnings","2011Q3","50 - 250","Transportation and storage (H)","Euro","17.78"
"Average Hourly Earnings","2011Q3","50 - 250","Accommodation and food service activities (I)","Euro","12.72"
"Average Hourly Earnings","2011Q3","50 - 250","Information and communication (J)","Euro","26.05"
"Average Hourly Earnings","2011Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","28.74"
"Average Hourly Earnings","2011Q3","50 - 250","Administrative and support service activities (N)","Euro","16.2"
"Average Hourly Earnings","2011Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.62"
"Average Hourly Earnings","2011Q3","50 - 250","Education (P)","Euro","26.45"
"Average Hourly Earnings","2011Q3","50 - 250","Human health and social work activities (Q)","Euro","17.46"
"Average Hourly Earnings","2011Q3","50 - 250","Industry (B to E)","Euro","19.23"
"Average Hourly Earnings","2011Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","29.25"
"Average Hourly Earnings","2011Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.22"
"Average Hourly Earnings","2011Q3","Greater than 250","All NACE economic sectors","Euro","25.41"
"Average Hourly Earnings","2011Q3","Greater than 250","Construction (F)","Euro","24.56"
"Average Hourly Earnings","2011Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.07"
"Average Hourly Earnings","2011Q3","Greater than 250","Transportation and storage (H)","Euro","22.27"
"Average Hourly Earnings","2011Q3","Greater than 250","Accommodation and food service activities (I)","Euro","13.4"
"Average Hourly Earnings","2011Q3","Greater than 250","Information and communication (J)","Euro","27.67"
"Average Hourly Earnings","2011Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","26.64"
"Average Hourly Earnings","2011Q3","Greater than 250","Administrative and support service activities (N)","Euro","14.97"
"Average Hourly Earnings","2011Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.69"
"Average Hourly Earnings","2011Q3","Greater than 250","Education (P)","Euro","40.35"
"Average Hourly Earnings","2011Q3","Greater than 250","Human health and social work activities (Q)","Euro","25.65"
"Average Hourly Earnings","2011Q3","Greater than 250","Industry (B to E)","Euro","24.31"
"Average Hourly Earnings","2011Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","28.52"
"Average Hourly Earnings","2011Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.33"
"Average Hourly Earnings","2011Q4","Under 50","All NACE economic sectors","Euro","17.8"
"Average Hourly Earnings","2011Q4","Under 50","Construction (F)","Euro","17.27"
"Average Hourly Earnings","2011Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.92"
"Average Hourly Earnings","2011Q4","Under 50","Transportation and storage (H)","Euro","16.6"
"Average Hourly Earnings","2011Q4","Under 50","Accommodation and food service activities (I)","Euro","12.07"
"Average Hourly Earnings","2011Q4","Under 50","Information and communication (J)","Euro","25.76"
"Average Hourly Earnings","2011Q4","Under 50","Professional, scientific and technical activities (M)","Euro","22.08"
"Average Hourly Earnings","2011Q4","Under 50","Administrative and support service activities (N)","Euro","19.75"
"Average Hourly Earnings","2011Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","19.92"
"Average Hourly Earnings","2011Q4","Under 50","Education (P)","Euro","19.03"
"Average Hourly Earnings","2011Q4","Under 50","Human health and social work activities (Q)","Euro","17.86"
"Average Hourly Earnings","2011Q4","Under 50","Industry (B to E)","Euro","16.86"
"Average Hourly Earnings","2011Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","28.44"
"Average Hourly Earnings","2011Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.3"
"Average Hourly Earnings","2011Q4","50 - 250","All NACE economic sectors","Euro","20.05"
"Average Hourly Earnings","2011Q4","50 - 250","Construction (F)","Euro","23.56"
"Average Hourly Earnings","2011Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.25"
"Average Hourly Earnings","2011Q4","50 - 250","Transportation and storage (H)","Euro","17.79"
"Average Hourly Earnings","2011Q4","50 - 250","Accommodation and food service activities (I)","Euro","12.87"
"Average Hourly Earnings","2011Q4","50 - 250","Information and communication (J)","Euro","29.29"
"Average Hourly Earnings","2011Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","29.22"
"Average Hourly Earnings","2011Q4","50 - 250","Administrative and support service activities (N)","Euro","17.28"
"Average Hourly Earnings","2011Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.95"
"Average Hourly Earnings","2011Q4","50 - 250","Education (P)","Euro","29.12"
"Average Hourly Earnings","2011Q4","50 - 250","Human health and social work activities (Q)","Euro","17.53"
"Average Hourly Earnings","2011Q4","50 - 250","Industry (B to E)","Euro","20.18"
"Average Hourly Earnings","2011Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","29.35"
"Average Hourly Earnings","2011Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.16"
"Average Hourly Earnings","2011Q4","Greater than 250","All NACE economic sectors","Euro","25.71"
"Average Hourly Earnings","2011Q4","Greater than 250","Construction (F)","Euro","24.85"
"Average Hourly Earnings","2011Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.63"
"Average Hourly Earnings","2011Q4","Greater than 250","Transportation and storage (H)","Euro","22.64"
"Average Hourly Earnings","2011Q4","Greater than 250","Accommodation and food service activities (I)","Euro","13.29"
"Average Hourly Earnings","2011Q4","Greater than 250","Information and communication (J)","Euro","27.33"
"Average Hourly Earnings","2011Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","26.17"
"Average Hourly Earnings","2011Q4","Greater than 250","Administrative and support service activities (N)","Euro","14.91"
"Average Hourly Earnings","2011Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.84"
"Average Hourly Earnings","2011Q4","Greater than 250","Education (P)","Euro","38.57"
"Average Hourly Earnings","2011Q4","Greater than 250","Human health and social work activities (Q)","Euro","25.92"
"Average Hourly Earnings","2011Q4","Greater than 250","Industry (B to E)","Euro","25.54"
"Average Hourly Earnings","2011Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.15"
"Average Hourly Earnings","2011Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.02"
"Average Hourly Earnings","2012Q1","Under 50","All NACE economic sectors","Euro","17.74"
"Average Hourly Earnings","2012Q1","Under 50","Construction (F)","Euro","17.3"
"Average Hourly Earnings","2012Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.76"
"Average Hourly Earnings","2012Q1","Under 50","Transportation and storage (H)","Euro","16.93"
"Average Hourly Earnings","2012Q1","Under 50","Accommodation and food service activities (I)","Euro","11.56"
"Average Hourly Earnings","2012Q1","Under 50","Information and communication (J)","Euro","26.07"
"Average Hourly Earnings","2012Q1","Under 50","Professional, scientific and technical activities (M)","Euro","23.35"
"Average Hourly Earnings","2012Q1","Under 50","Administrative and support service activities (N)","Euro","17.68"
"Average Hourly Earnings","2012Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","23.53"
"Average Hourly Earnings","2012Q1","Under 50","Education (P)","Euro","18.55"
"Average Hourly Earnings","2012Q1","Under 50","Human health and social work activities (Q)","Euro","17.28"
"Average Hourly Earnings","2012Q1","Under 50","Industry (B to E)","Euro","17.07"
"Average Hourly Earnings","2012Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","25.9"
"Average Hourly Earnings","2012Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.4"
"Average Hourly Earnings","2012Q1","50 - 250","All NACE economic sectors","Euro","20.52"
"Average Hourly Earnings","2012Q1","50 - 250","Construction (F)","Euro","23.14"
"Average Hourly Earnings","2012Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.32"
"Average Hourly Earnings","2012Q1","50 - 250","Transportation and storage (H)","Euro","18.31"
"Average Hourly Earnings","2012Q1","50 - 250","Accommodation and food service activities (I)","Euro","12.53"
"Average Hourly Earnings","2012Q1","50 - 250","Information and communication (J)","Euro","29.04"
"Average Hourly Earnings","2012Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","36.95"
"Average Hourly Earnings","2012Q1","50 - 250","Administrative and support service activities (N)","Euro","16.75"
"Average Hourly Earnings","2012Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.96"
"Average Hourly Earnings","2012Q1","50 - 250","Education (P)","Euro","27.17"
"Average Hourly Earnings","2012Q1","50 - 250","Human health and social work activities (Q)","Euro","17.28"
"Average Hourly Earnings","2012Q1","50 - 250","Industry (B to E)","Euro","19.76"
"Average Hourly Earnings","2012Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","32.96"
"Average Hourly Earnings","2012Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.3"
"Average Hourly Earnings","2012Q1","Greater than 250","All NACE economic sectors","Euro","25.95"
"Average Hourly Earnings","2012Q1","Greater than 250","Construction (F)","Euro","24.45"
"Average Hourly Earnings","2012Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.86"
"Average Hourly Earnings","2012Q1","Greater than 250","Transportation and storage (H)","Euro","22.26"
"Average Hourly Earnings","2012Q1","Greater than 250","Accommodation and food service activities (I)","Euro","13.05"
"Average Hourly Earnings","2012Q1","Greater than 250","Information and communication (J)","Euro","30.53"
"Average Hourly Earnings","2012Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.84"
"Average Hourly Earnings","2012Q1","Greater than 250","Administrative and support service activities (N)","Euro","14.87"
"Average Hourly Earnings","2012Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.17"
"Average Hourly Earnings","2012Q1","Greater than 250","Education (P)","Euro","38.26"
"Average Hourly Earnings","2012Q1","Greater than 250","Human health and social work activities (Q)","Euro","25.75"
"Average Hourly Earnings","2012Q1","Greater than 250","Industry (B to E)","Euro","26.27"
"Average Hourly Earnings","2012Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","30.8"
"Average Hourly Earnings","2012Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.6"
"Average Hourly Earnings","2012Q2","Under 50","All NACE economic sectors","Euro","17.63"
"Average Hourly Earnings","2012Q2","Under 50","Construction (F)","Euro","17.15"
"Average Hourly Earnings","2012Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.56"
"Average Hourly Earnings","2012Q2","Under 50","Transportation and storage (H)","Euro","15.87"
"Average Hourly Earnings","2012Q2","Under 50","Accommodation and food service activities (I)","Euro","11.99"
